employee_id,day,request_type,penalty,is_fixed
E001,13,desired_day_off,8,0
E001,25,preferred_working_day,4,0
E002,20,desired_day_off,8,0
E002,6,preferred_working_day,4,0
E003,5,desired_day_off,8,0
E003,17,preferred_working_day,4,0
E004,2,desired_day_off,8,0
E004,9,preferred_working_day,4,0
E005,4,desired_day_off,8,0
E005,1,preferred_working_day,4,0
E006,26,desired_day_off,8,0
E006,3,preferred_working_day,4,0
E007,1,desired_day_off,8,0
E007,27,preferred_working_day,4,0
E008,6,desired_day_off,8,0
E008,23,preferred_working_day,4,0
E009,1,desired_day_off,8,0
E009,5,preferred_working_day,4,0
E010,4,desired_day_off,8,0
E010,20,preferred_working_day,4,0
E011,18,desired_day_off,8,0
E011,14,preferred_working_day,4,0
E012,7,desired_day_off,8,0
E012,3,preferred_working_day,4,0
E013,16,desired_day_off,8,0
E013,7,preferred_working_day,4,0
E014,17,desired_day_off,8,0
E014,20,preferred_working_day,4,0
E015,24,desired_day_off,8,0
E015,14,preferred_working_day,4,0
E016,1,desired_day_off,8,0
E016,8,preferred_working_day,4,0
E017,24,desired_day_off,8,0
E017,15,preferred_working_day,4,0
E018,18,desired_day_off,8,0
E018,13,preferred_working_day,4,0
E019,5,desired_day_off,8,0
E019,26,preferred_working_day,4,0
E020,22,desired_day_off,8,0
E020,28,preferred_working_day,4,0
E021,24,desired_day_off,8,0
E021,9,preferred_working_day,4,0
E022,8,desired_day_off,8,0
E022,7,preferred_working_day,4,0
E023,26,desired_day_off,8,0
E023,16,preferred_working_day,4,0
E024,13,desired_day_off,8,0
E024,28,preferred_working_day,4,0
E025,17,desired_day_off,8,0
E025,26,preferred_working_day,4,0
E026,28,desired_day_off,8,0
E026,3,preferred_working_day,4,0
E027,11,desired_day_off,8,0
E027,21,preferred_working_day,4,0
E028,23,desired_day_off,8,0
E028,5,preferred_working_day,4,0
E029,9,desired_day_off,8,0
E029,16,preferred_working_day,4,0
E030,23,desired_day_off,8,0
E030,4,preferred_working_day,4,0
E031,17,desired_day_off,8,0
E031,9,preferred_working_day,4,0
E032,7,desired_day_off,8,0
E032,15,preferred_working_day,4,0
E033,12,desired_day_off,8,0
E033,18,preferred_working_day,4,0
E034,9,desired_day_off,8,0
E034,24,preferred_working_day,4,0
E035,3,desired_day_off,8,0
E035,25,preferred_working_day,4,0
E036,1,desired_day_off,8,0
E036,21,preferred_working_day,4,0
E037,10,desired_day_off,8,0
E037,11,preferred_working_day,4,0
E038,1,desired_day_off,8,0
E038,20,preferred_working_day,4,0
E039,5,desired_day_off,8,0
E039,19,preferred_working_day,4,0
E040,21,desired_day_off,8,0
E040,24,preferred_working_day,4,0
E041,20,desired_day_off,8,0
E041,9,preferred_working_day,4,0
E042,21,desired_day_off,8,0
E042,24,preferred_working_day,4,0
E043,9,desired_day_off,8,0
E043,4,preferred_working_day,4,0
E044,25,desired_day_off,8,0
E044,5,preferred_working_day,4,0
E045,17,desired_day_off,8,0
E045,7,preferred_working_day,4,0
E046,4,desired_day_off,8,0
E046,22,preferred_working_day,4,0
E047,5,desired_day_off,8,0
E047,19,preferred_working_day,4,0
E048,20,desired_day_off,8,0
E048,2,preferred_working_day,4,0
