metric,value
scale_level,medium
initial_source_used,MILP assignment_long.csv
temperature_initial,750.0
temperature_min,0.25
cooling_rate,0.95
cycles_per_temp,1200
max_iterations,120000
max_seconds,300.0
score_improvement,1045000.6806603621
score_improvement_percent,40.81519300928809
final_assignments,1649
total_C_min,1372
total_C_opt,1655
total_C_max,2284
initial_score,2560322.771039101
initial_hard_violations,25.0
initial_shortage_Cmin,25
initial_shortage_Copt,57
initial_overstaff_Copt,3
initial_overstaff_Cmax,0
initial_preference_penalty,0.0
initial_fairness_penalty,111.51806927339868
initial_stability_penalty,500.0
initial_rest_violations,0
initial_skill_violations,0
initial_availability_violations,0
initial_one_per_day_violations,0
initial_contract_violations,0.0
initial_fixed_assignment_violations,0
initial_incompatibility_penalty,0.0
final_score,1515322.0903787387
final_hard_violations,15.0
final_shortage_Cmin,2
final_shortage_Copt,6
final_overstaff_Copt,0
final_overstaff_Cmax,0
final_preference_penalty,127.75
final_fairness_penalty,141.80602524924817
final_stability_penalty,564.0
final_rest_violations,11
final_skill_violations,0
final_availability_violations,0
final_one_per_day_violations,0
final_contract_violations,2.0
final_fixed_assignment_violations,0
final_incompatibility_penalty,0.0
